nombre_comun,especie,familia,orden,clase,grupo,zona,habitat,dieta,gestacion,crias,vida,grado_amenaza
Cucaracha silbadora,Gromphadorhina portentosa,Blaberidae,Blattodea,Insecta,ARTRÓPODOS,africa-ecuatorial,"Se encuentra en las selvas lluviosas tropicales de las tierras bajas de Madagascar, generalmente debajo de troncos de árboles muertos, en el suelo de la selva, o en zonas en contacto con los humanos en vertederos.","Son detritívoros, se alimentan generalmente de restos de materia vegetal, incluida la fruta caída debido a su fácil disponibilidad, también se alimentan de insectos más pequeños y de cuerpos y restos de otros animales.",Desarrollo de los huevos 60-70 días.,15-40 huevos.,2-5 años.,NE
Alcaraván del Cabo,Burhinus capensis,Burhinidae,Charadriiformes,Aves,AVES,africa-ecuatorial,"Vive en ambientes de sabana, en zonas herbáceas, semidesérticas o rocosas, cerca de lechos de los ríos, también se le encuentra en zonas urbanas.","Omnívora a base de semillas, insectos, pequeños mamíferos y pequeños reptiles, cangrejos e incluso ranas.",26-27 días.,1-3 huevos.,Alrededor de 15 años.,LC
Ánade Malgache,Anas melleri,Anatidae,Anseriformes,Aves,AVES,africa-ecuatorial,"Habita ciénagas, lagunas, riachuelos y arroyos.","Omnívoros, se alimentan de semillas acuáticas y plantas así como invertebrados especialmente moluscos.",Incubación entre 27 y 29 días.,Pone entre 5 y 10 huevos por nidada.,Depende de la alimentación y calidad de vida del animal.,EN
Pato Picolimón,Anas undulata,Anatidae,Anseriformes,Aves,AVES,africa-ecuatorial,"Se encuentra principalmente en los lagos, lagunas y humedales.",Plantas acuáticas y pequeños invertebrados.,Incubación 25 a 27 días.,7 a 8.,25 a 30 años.,LC
Faisán argos real,Argusianus argus,Phasianidae,Galliformes,Aves,AVES,sudeste-asiatico,"Tierras y bosques primarios, secos y con grandes árboles, de hasta 1.300 metros por encima del nivel del mar.","Fruta, semillas, hojas, tallos e invertebrados.",Incubación 24 a 25 días.,2 huevos.,"20 años en cautividad. En libertad, se desconoce.",NT
Avefría militar,Vanellus miles,Charadriidae,Charadriiformes,Aves,AVES,sudeste-asiatico,"Humedales, lagos, lagunas y praderas de hierbas bajas; siempre cerca de una fuente de agua. Es común encontrarlas en aves urbanas como parques y jardines.","Todo tipo de invertebrados, como insectos, arañas, moluscos y crustáceos.",Incubación 28 a 30 días.,De 2 a 4 huevos.,12 años.,LC
Bul bul orfeo,Pycnonotus jocosus,Pycnonotidae,Passeriformes,Aves,AVES,sudeste-asiatico,"Bosques, sendas, campos de cultivo y parques urbanos, siempre cerca del agua.","Frutos, brotes tiernos, bayas, insectos, miel y néctar.",Incubación 12 a 14 días.,2 a 3 huevos.,11 años.,LC
Cálao Bicorne,Buceros bicornis,Bucerotidae,Bucerotiformes,Aves,AVES,sudeste-asiatico,Bosques húmedos tropicales.,"Fruta, aunque también incluye en su dieta pequeños animales como aves, roedores, cangrejos o serpientes.",Incubación 38-40 días.,1-2 huevos.,45-50 años.,NT
Cálao de las bisayas,Penelopides panini,Bucerotidae,Coraciforme,Aves,AVES,indo-pacifico,Selva.,"El 70% de su dieta se compone de frutas y bayas mientras que el 30% restante está constituido por insectos, lagartos y gusanos.",Incubación alrededor de 55 días.,2 o 3 huevos por periodo de anidación.,15 a 20 años.,EN
Cálao de Papúa,Rhyticeros plicatus,Bucerótidos,Coraciformes,Aves,AVES,sudeste-asiatico,"Selvas en llanuras cálidas, colinas y laderas de montañas.","Fruta, especialmente higos que producen las numerosas especies de árboles Ficus de Asia.",Incubación hasta 40 días.,1-2 huevos.,45-50 años.,LC
Cálao Gorginegro,Rhyticeros undulatus,Bucerotidae,Coraciiformes,Aves,AVES,sudeste-asiatico,Bosques tropicales del continente asiático.,"Principalmente de fruta, aunque también pueden cazar serpientes, lagartos, pequeños roedores e insectos.",Incubación 35 a 40 días.,1 a 2 huevos.,30 a 35 años.,LC
Casuario común,Casuarius casuarius,Casuariidae,Struthioniformes ,Aves,AVES,sudeste-asiatico,"Selvas tropicales, y ocasionalmente sabanas, manglares y plantaciones frutales.",Fruta caída de los árboles.,Incubación 50 días.,3 a 5.,Hasta 30 años.,VU
Cigüeña de Abdim,Ciconia abdimii,Ciconiidae,Ciconiiformes,Aves,AVES,africa-ecuatorial,Sabanas y herbazales con zonas de agua cerca.,"Grandes insectos, principalmente langostas y orugas, ocasionalmente también se alimenta de pequeños reptiles, anfibios, ratones, cangrejos y huevos.",Incubación 30 a 33 días.,De 2 a 3 huevos.,20 años.,LC
Espátula Africana,Platalea alba,Threskiornithidae,Ciconiiformes,Aves,AVES,africa-ecuatorial,"Vive en amplias zonas de humedal de aguas superficiales, tales como lagos, ríos, marjales, llanuras de aluvión y zonas pantanosas permanentes o temporales, así como estanques artificiales. Es menos frecuente en lagunas costeras y estuarios.","Carnívora a base de pequeños peces, ranas e invertebrados acuáticos.",Incubación 26-29 días.,2 – 4 huevos.,25-30 años.,LC
Espolonero de Palawán,Polyplectron napoleonis,Phasianidae,Galliformes,Aves,AVES,indo-pacifico,Bosques densos y húmedos.,Fruta e insectos en cautividad. En libertad se desconoce con exactitud.,Incubación 19-20 días.,2 huevos.,No hay información disponible.,VU
Faisán Edwuards,Lophura edwardsi,Phasianidae,Galliformes,Aves,AVES,sudeste-asiatico,"Bosques lluviosos a más de 600 metros de altitud, de árboles frondosos, lianas y vegetación densa.",Frutos e insectos.,Incubación 21 a 22 días.,4 a 7.,10 a 12 años.,CR
Faisán noble de Borneo,Lophura ignita,Phasianidae,Galliformes,Aves,AVES,sudeste-asiatico,Selvas tropicales de poca altitud.,"Plantas, semillas y frutos y pequeños invertebrados.",Incubación 25 días.,4 a 8 huevos.,10 a 12 años.,NT
Flamenco enano,Phoeniconaias minor,Phoenicopteridae,Phoenicopteriformes,Aves,AVES,africa-ecuatorial,"Ríos, marismas, pantanos y lagos.","Algas, larvas, insectos, crustáceos, moluscos y pequeños peces",Incubación entre 27 y 31 días.,1 huevo.,50 años.,NT
Flamenco común,Phoenicopterus roseus,Phoenicopteridae,Phoenicopteriformes,Aves,AVES,africa-ecuatorial,"Viven preferentemente en zonas lacustres poco profundas, muy salinas y alcalinas, casi siempre cercanas a la costa. También se los ha observado en lagunas y lagos volcánicos.","No son selectivos en su dieta, se alimentan de cualquier cosa que es capturada en el proceso de filtración; bacterias y microorganismos, gusanos, nematodos, moluscos, crustáceos, insectos y larvas, e incluso vertebrados como pequeños peces y materia vegetal.",Incubación 30-32 días.,1 huevo.,Alrededor de 25 años en la naturaleza y hasta 30 en cautividad.,LC
